word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
two,ɔri,ˈkːɑtːsː,ʒiri,tvoː,ʒur,t͡svaɪ̯,ˈkɑks,ˈkɑksi,tuː,toː,jɔri
swell,ʃɛʃupʼɛbä,ˈpːɑisːtːumɑ,mbäruä,,ɔbäru,ˈʃvɛlən,ˈpɑisumɑ,ˈpɑisuɑ,swɛl,,liʃiɛ
thick,skʰɛli,ˈpːɑkːsː,ʃχu,ɕɔk,pʼɛdʒi,dɪk,ˈpɑks,ˈpɑksu,θɪk,tyk,sgɛl
flower,qʼvävili,ˈhæitsːeʔ,pʼɛuli,blʊ.ma,pʰukʰiri,ˈblyːtə,ˈlilː,ˈkukːɑ,ˈflaʊ.ə,,muʁwæ
wide,pʰärtʰɔ,ˈlɑkʲɑ,pʰärtʰɛ,viːd,mbɔli,bʀaɪ̯t,ˈlɑi,ˈleʋeæ,waɪd,,mäʃri
fly,pʰrɛnä,ˈlintɑmɑ,pʰurinuä,,ɔpʰutʰχinu,ˈfliːɡə,ˈlendɑmɑ,ˈlentæː,flaɪ,fluːə,lipʼɛr
sit,dʒdɔmä,ˈisːtːmɑ,dɔχunä,,dɔχunu,ˈzɪtsn̩,ˈistumɑ,ˈistuɑ,sɪt,seðə,lisgwrɛ
narrow,vitsʼrɔ,ˈɑhtːɑkɤnɤ,intsʼrɔ,,ndäri,ɛŋ,ˈkitsɑs,ˈkɑpeɑ,ˈnæɹoʊ,snɛvər,näχwtsʼi
freeze,gäqʼinvä,ˈkːylmæmæ,ʔinuä,,ɔqʼinu,ɡəˈfʁiːʁən,ˈkylmumɑ,ˈjæːtyæ,ˈfɹiːz,,likʼwrɛmi
cut,tʃʼrä,ˈlɤikːɑmɑ,tʃʼkʼiruä,ˈɧæːˌra,ɔtʃʼkʼiru,,ˈlɤikɑmɑ,ˈleikɑtɑ,kʌt,skɛːrə,likʰtʃɛ
big,didi,ˈsːuːr,didi,ˈvɵkˌsɛn,didi,ɡʁoːs,ˈsuːr,ˈiso,bɪɡ,,χɔʃä
black,ʃävi,ˈmusːtː,utʃä,svart,utʃä,ʃvarts,ˈmust,ˈmustɑ,blæk,soɐ̯d̥,mɛʃχɛ
