,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 es, ɟ͡ʝo, ˈtu, el, noˈsotɾos, ˈtu, ˈeʎos, ˈeste, ˈese, aˈki, aˈʎi, ˈkjen, ˈke, ˈdonde, ˈkwando, ˈkomo, no, ˈtodos, ˈmut͡ʃos, , , ˈotɾo, ˈuno, dos, tɾes, ˈkwatɾo, ˈθinko, maˈɟ͡ʝoɾ, ˈlarɡo, ˈaɲ.tʃo, ˈɡɾweso, peˈsado, peˈkeɲo, ˈkorto, es̺ˈtɾe.tʃo, ˈfino, muˈxeɾ, ˈombɾe, uˈma.no, ˈixo, esˈposa, maˈɾido, ˈmadɾe, ˈpadɾe, aniˈmal, ˈpeθ, ˈpaxaɾo, ˈpero, ˈpjo.xo, serˈpjente, ɡuˈsano, ˈarbol, ˈboske, , ˈfɾuta, , ˈoxa, raˈiθ, korˈteθa, ˈfloɾ, ˈpas.to, ˈkwerda, , ˈkarne, ˈsanɡɾe, ˈweso, ˈɡɾasa, ˈwebo, ˈkwerno, ˈkola, ˈpluma, kaˈbeʎo, kaˈbeθa, oˈido, ˈoxo, naˈɾiθ, ˈboka, ˈdjente, ˈlenɡwa, ˈu.ɲa, pje, ˈpjerna, roˈdiʎa, ˈmano, ˈala, bäˈriɣä, , ˈkweʎo, esˈpal.da, ˈpet͡ʃo, koɾaˈθon, ˈiɡado, beˈβeɾ, koˈmeɾ, , t͡ʃuˈpaɾ, eskuˈpiɾ, , , , , ˈbeɾ, oˈiɾ, saˈbeɾ, penˈsaɾ, , ˈmjedo, dorˈmiɾ, biˈbiɾ, , maˈtaɾ, peleˈaɾ, kaˈθaɾ, , , parˈtiɾ, apuɲaˈlaɾ, rasˈkaɾ, ekskaˈbaɾ, naˈdaɾ, ˈmoska, kamiˈnaɾ, beˈniɾ, menˈtiɾa, senˈtaɾ, , xiˈɾaɾ, kaˈeɾ, ˈdaɾ, aɡwanˈtaɾ, ekspɾiˈmiɾ, , , limˈpjaɾ, tiˈɾaɾ, empuˈxaɾ, , aˈtaɾ, ko.ˈser, konˈtaɾ, deˈθiɾ, kanˈtaɾ, xuˈɡaɾ, , ˈflwiɾ, eˈlaɾ, , ˈsol, ˈluna, esˈtɾeʎa, ˈaɡwa, ˈʎubja, ˈri.o̞, ˈla.ɡo, ˈmaɾ, sal, ˈpjedɾa, aˈɾena, ˈpol.bo, ˈtje̞.ra̠, , , firmaˈmento, ˈbjento, ˈnjebe, ˈɟ͡ʝelo, ˈumo, ˈfweɡo, θeˈniθa, aɾˈdeɾ, kaˈmino, monˈtaɲa, ˈroxo, ˈberde, amaˈɾiʎo, ˈblanko, ˈneɡɾo, ˈnot͡ʃe, ˈdia, ˈaɲo, kaˈljente, ˈfɾio, , ˈnwebo, anˈtiɡwo, ˈbweno, ˈmalo, , ˈsuθjo, , reˈdondo, aˈɡudo, ˈromo, ˈliso, moˈxado, ˈseko, koˈreɡto, ˈθerka, , deˈɾet͡ʃo, , en, en, kon, ʝ, si, ˈporke, ˈnom.bɾe
 et, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈloːm, , lˈind̥, , tˈæi̯, , , , , , , , , , , , , , , , , , , , , , ˈsulʲɡ̊, , , kˈɤrv, , , , , kˈeːl, , , , , kæsi, , kˈɤht, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈytlemɑ, , , , , , , , , , , , , , , , , , , , , , , tˈuːl, , , , ˈtulʲi, , , , , , , , , , ˈøː, , , , kˈylm, , , ˈvɑnɑ, , , , , , , , , , , , , , , ˈɤi̯ɡ̊us, , , , , , , , ˈnimi
 eu, , , , , , , , , , , , , , , , es̻, , , , , , , , , , , , , , , , , , , , , , , , , , aˈma, aiˈta, , ˈa.raiɲ, ˈtʃo.ɾi, tʃa.ˈkur, , , , , , , , , , , , , , , , , , , , , , , , , bu.ɾu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , eˈto.ri, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , iˈβaj, , , , , , , , , , , , , iˈs̻ots̻, , , erauts̺, , , , , berˈde, , , , , eˈɡun, , , ot͡s̻, , beri, , , , , , , , , , , , , , , , , , , , , , , , iˈsen
 fa, mæn, to, ʔoː, mɒː, to, ʔeːˈʃɒːn, ʔin, ɒːn, iːnˈdʒɒː, ɒːnˈdʒɒː, kʰej, tʃʰe, kʰoˈdʒɒː, kʰej, , næ, hæˈme, zɪˈjɒːd, , kʲæm, diːˈɡʲæɾ, jekʲ, duː, , tʃæˈhɒːɾ, pʰænd͡ʒ, , , , , sæŋˈɡʲiːn, kʰuːtʃʰækʲ, kʰuːˈt̪ʰɒːh, , , , , , bætːʃʰe, , ʃoʊˈhæɾ, mɒːˈd̪æɾ, pʰeˈd̪æɾ, dʒɒːnˈvæɾ, mɒːhiː, pʰæɾænˈde, sæɡ, ʃeˈpeʃ, mɒːɾ, , deˈɾæxtʰ, beːˈʃæ, t͡ʃoːb, miːve, t̪ʰoχm, bæɾɡ, ɾeːʃæ, , ɡʊl, sæbze, , poːst, ɡoːʃt, xuːn, ostoxɒn, tʃærbiː, t̪ʰoχm, ʃɒx, dæm, por, mo, sæɾ, ɡoːʃ, tʃʰæʃm, , d̪æˈhɒːn, dændɒːn, zæˈbɒ(ː)n, nɒːxon, pɒː, pɒː, zɒːˈnuː, dæst, bɒːl, ʃeˈkʲæm, , ɡærdæn, pʰoʃt̪ʰ, pʰesˈt̪ʰɒːn, del, dʒeɡæɾ, nuːʃiːˈdæn, , , mækʲiːˈdæn, , , , , xænd̪iːˈd̪æn, d̪iːˈd̪æn, ʃeniˈdæn~ʃonidæn, d̪ɒːnesˈt̪ʰæn, ˌfekɾ kʲæɾˈd̪æn, , , xɒːbiˈdæn, , moɾˈd̪æn, kʰoʃˈt̪ʰæn, , , zæˈd̪æn, boɾiːˈdæn, , , xæɾɒːʃiːˈdæn, kʲænˈdæn, , mæˈɡæs, , ɒːmæˈd̪æn, doˈɾuːɣ, neʃæsˈt̪ʰæn, iːstʰɒːˈdæn, ɡæʃtæn, oftʰɒːˈdæn, d̪ɒːˈd̪æn, , , mɒːliːˈd̪æn, ʃostæn, , kʲeʃiːˈd̪æn, , ændɒːxtæn, , , ʃomordæn, ɡofˈt̪ʰæn, sʊɾuːˈd̪æn, , , , , , , , sitɒːɾæ, ɒːb, bɒːˈɾɒːn, ɾuːd̪, dæɾjɒːˈtʃʰe, dæɾˈjɒː, næmæk, sæŋɡ, , , , (ʔ)æbɾ, mæh, ɒːsˈmɒːn, bɒːd, , jæx, , , xɒːkʲesˈt̪ʰæɾ, suːxˈtæn, , kuːh, ɢeɾˈmez, sæbz, , seˈfiːd̪, sijɒːh, ʃæb, ɾuːz, sɒːl, ɡʲæːɾm, sæɾd, por, , ɢæd̪iːˈmiː, xuːb, bæd, , kʲæˈsiːf, mostæɣiːm, , teːz, , , xiːs, xoʃk, doˈɾos(t), næzˈd̪iːkʲ, , , tʃæp, dæɾ, dæɾ, bɒː, o, ˈæɡʲæɾ, , nɒːm
 ff, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 fi, ˈminæ, ˈsinæ, ˈhæn, ˈme, ˈsinæ, ˈhe, ˈtæmæ, ˈtuo̯, ˈtæsːæ, ˈtuolːɑ, ˈkukɑ, , , , , ˈei̯, , , , , ˈtoi̯nen, ˈyksi, ˈkɑksi, ˈkolme, ˈneljæ, ˈʋiːsi, , , , ˈpɑksu, , , ˈlyhyt, ˈkɑpeɑ, ˈohut, ˈnɑi̯nen, ˈiçmine̞n, ˈinɦimilːinen, , , ˈmie̯s, ˈæi̯ti, ˈisæ, ˈe̞læ͡in, ˈkɑlɑ, , ˈkoi̯rɑ, tæi, ˈkæːrmeˣ, ˈmɑto, ˈpuː, ˈmetsæ, ˈke̞pːi, ˈhedelmæ, , ˈlehti, , ˈpuːŋˌkuɔri, ˈkukːɑ, ˈheinæ, , ˈiho, ˈliɦɑ, ˈʋeri, ˈluː, , , , ˈhæn̪t̪æ, , , pæː, ˈkorʋɑ, ˈsilmæ, ˈnenæ, ˈsuː, ˈhɑmːɑs, ˈkie̯li, ˈsormi, ˈjɑlkɑ, ˈjɑlkɑ, ˈpolʋi, ˈkæsi, , ˈmɑhɑ, , ˈkɑu̯lɑ, ˈse̞lkæ, ˈrin̪t̪ɑ, ˈsydæn, ˈmɑksɑ, ˈjuo̯dɑˣ, ˈsyø̯dæˣ, ˈpurːɑˣ, ˈimeæˣ, , ˈoksentɑːˣ, , ˈheŋːitːæːˣ, ˈnɑu̯rɑːˣ, ˈnæhdæˣ, ˈkuːlːɑˣ, ˈtie̯tæːˣ, ˈɑjɑtelːɑˣ, ˈhɑju, ˈpe̞lko̞, ˈnukːuɑˣ, ˈe̞læː(ʔ), ˈkuo̯lːɑˣ, ˈtɑpːɑːˣ, , , , ˈleikɑt̪ɑ(ʔ), , , ˈrɑːpi.ɑˣ, , ˈui̯dɑˣ, , ˈkæʋelːæˣ, ˈtulːɑˣ, ˈʋɑleˣ, ˈistuɑˣ, ˈsei̯soɑˣ, , ˈkɑːtuɑˣ, ˈɑntɑːˣ, ˈpitæːˣ, , ˈhieroɑ(ʔ), ˈpestæ(ʔ), ˈpyːçki.æˣ, , ˈtyøntæːˣ, ˈhei̯tːæːˣ, , , ˈlɑskeɑˣ, ˈsɑnoɑˣ, , ˈle̞ikːi.æˣ, , , ˈjæːtyæˣ, , ˈɑu̯riŋko, , ˈtæhti, ˈʋesi, ˈsɑdeˣ, , ˈjærʋi, ˈmeri, ˈsuɔlɑ, ˈkiʋi, , ˈpøly, ˈmɑː, , , ˈtɑi̯ʋɑs, ˈtuːli, ˈlumi, ˈjæː, ˈsɑʋu, ˈtuli, ˈtuxkɑ, ˈpɑlɑː, , ˈʋuo̯ri, ˈpunɑi̯nen, ˈʋihreæ, ˈkeltɑi̯nen, , ˈmustɑ, ˈyø̯, ˈpæi̯ʋæ, ˈʋuo̯si, , , , , , ˈhyʋæ, , , , ˈsuo̯rɑ, , , , , , , ˈo̞ike̞ɑ, , ˈkɑukɑine̞n, , ˈʋɑsen, , , , ˈjɑ, ˈjos, , ˈnimi
 fj, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 fo, eː, tʰʉuː(w), , , tʰʉuː(w), tʰaiːɹ, , , , , kvøːr, kvɛaːʰt, , , , ˈɪʰtʃːɪ, ˈat.lʊɹ, ˈmɛŋkʊɹ, , , , , , trʊdʒɪr, ˈfʊiːɹa, fɪmː, , ˈlɛŋkʊɹ, ˈpɹaijʊɹ, t͡ʃʰʏʰkːʊɹ, , , , , , , , , ˈpatn, , ˈmɛaːvʊɹ, ˈmɔuwɪr, ˈfɛaːjɪɹ, t͡ʃɔuːr, ˈfɪskʊɹ, , ˈhʊntʊɹ, lʉuːs, , , tɹɛaː, , , , fɹɛaː, blɛaː, ɹɔuːt, ˈpœɹ̥kʊɹ, ˈblɔuma, kɹɛaːs, , , t͡ʃʰøːʰt, plɔuːw, bain, ˈfiːtɪ, ɛkː, hɔtn, , ˈfjøːvʊɹ, hɔaːɹ, hœtː, ˈɔira, ˈɛiːja, nøːs, , tʰɔnː, ˈtʰʊŋka, , ˈfɔuːtʊɹ, , knɛaː, hɔnt, ˈvɔŋkʊɹ, , , , , brœst, ˈjaɹ̥ʈa, ˈliːvʊɹ, ˈtɾɛʰkːa, , , , , , , , , ˈsʊt͡ʃːa, , , , , , , , , , , , , , , , , , , ˈfluː(w)ʊ, , , , , , , fatl, t͡ʃeːʋa, , , , , , , , kʰasta, , , , siːja, , , , , , ˈpœlna, sɔuːl, ˈmɔanɪ, ˈʃœtna, vaʰtn, ɹɛkn, ɔaː, vaʰtn, hɛaːv, sal̥t, , , , jøːɹ, skʊt͡ʃː, ˈtʰoːʰka, ˈhiːmɪn, ˈvɪntʊɹ, , ˈʊiːsʊɹ, ˈɹɔiːjkʊɹ, , ˈœska, , ˈveːvʊɹ, fjatl, , , ˈkuːlʊɹ, ˈkvʊiːjtʊɹ, ˈsvaɻ̥ʈʊɹ, nɔʰtː, ˈtɛaːvʊɹ, ɔaːɹ, , , ˈfʊtlʊɹ, nʊt͡ʃːʊɹ, kɛaːmal, ˈkɔuːwʊɹ, ˈɪtlʊɹ, , , , , ˈkvasːʊr, , , , , , , , , , ʊiː, ʊiː, viː, oː, , tʊiː, naun
 fr, ʒə, ty, il, nu, ty, il, sə, sə, i.si, la, ki, kwa, u, kɑ̃, kɔ.mɑ̃, nə, tus, bo.ku, dy, pø, otʁ, œ̃, dø, tʁwɑ, katʁ, sɛ̃k, ɡʁɑ̃, lɔ̃, laʁʒ, e.pɛ, luʁ, pə.ti, kuʁ, e.tʁwa, mɛ̃s, fam, ɔm, y.mɛ̃, ɑ̃.fɑ̃, fam, ma.ʁi, mɛʁ, pɛʁ, a.ni.mal, pwa.sɔ̃, wa.zo, ʃjɛ̃, pu, sɛʁ.pɑ̃, vɛʁ, aʁbʁ, fɔ.ʁɛ, bɑ.tɔ̃, fʁɥi, sə.mɑ̃s, fœj, ʁa.sin, e.kɔʁs, flœʁ, ɛʁb, kɔʁd, po, vjɑ̃d, sɑ̃, ɔs, ɡʁɛs, œf, kɔʁn, kø, plym, ʃə.vø, tɛt, ɔ.ʁɛj, œj, ne, buʃ, dɑ̃, lɑ̃ɡ, ɔ̃ɡl, pje, ʒɑ̃b, ʒə.nu, mɛ̃, ɛl, vɑ̃tʁ, ɑ̃t.ʁaj, ku, do, sɛ̃, kœʁ, fwa, bwaʁ, mɑ̃.ʒe, mɔʁdʁ, sy.se, kʁa.ʃe, vɔ.miʁ, su.fle, ʁɛs.pi.ʁe, ʁiʁ, vwaʁ, ɑ̃.tɑ̃dʁ, savwaʁ, pɑ̃.se, ɔ.dœʁ, pœʁ, dɔʁ.miʁ, vivʁ, mu.ʁiʁ, ty.e, batʁ, ʃa.se, fʁa.pe, ku.pe, fɑ̃dʁ, pwa.ɲaʁ.de, ɡʁa.te, kʁø.ze, na.ʒe, muʃ, maʁ.ʃe, və.niʁ, mɑ̃.sɔ̃ʒ, , ɛ.tʁə d(ə).bu, tuʁ.ne, tɔ̃.be, dɔ.ne, tə.niʁ, pʁɛ.se, fʁɔ.te, la.ve, e.sɥi.je, ti.ʁe, pu.se, ʒə.te, lje, kudʁ, kɔ̃.te, diʁ, ʃɑ̃.te, ʒwe, flɔ.te, ku.le, ʒə.le, ɡɔ̃.fle, sɔ.lɛj, lyn, e.twal, o, plɥi, flœv, lak, mɛʁ, sɛl, pjɛʁ, sɑbl, pu.sjɛʁ, tɛʁ, ny.aʒ, bʁu.jaʁ, sjɛl, vɑ̃, nɛʒ, ɡlas, fy.me, fø, sɑ̃dʁ, bʁy.le, ʁut, mɔ̃.taɲ, ʁuʒ, vɛʁ, ʒon, blɑ̃, nwaʁ, nɥi, ʒuʁ, a.ne, ʃo, fʁwɑ, plɛ̃, nu.vo, vjø, bɔ̃, mo.vɛ, puʁi, sal, dʁwɑ, ʁɔ̃, a.fi.le, e.mu.se, lis, mu.je, sɛk, kɔʁɛkt, pʁɛ, lwɛ̃.tɛ̃, dʁwɑ, ɡoʃ, a, dɑ̃, a.vɛk, e, si, paʁ.skə, nɔ̃
 fy, ɪk, , hɛi̯, vɛi̯, doː, ja, , , , , , , , , , ˈnɛt, , , , , , , , , , , , , , , swiər, , , , , , ˈminskə, , bɛːn, , , , hai̯t, , fɪsk, , huːn, , , , bɪə̯m, , , , , , , , blom, ɣɛːs, , , flai̯s, bluə̯t, , , aːi̯, , , , , ˈholə, , ɪə̯x, , ˈmulə, , , , , skoŋk, , , , , , , rɛːx, , hɛt, , ˈdrɪŋkə, , , , , , , , ˈlai̯tsjə, , ˈjɛ(ː)rə, , , , , , ˈlɪbjə, , , , , , , , , , , ˈsvɪm.mə, mɪx, , , , , ˈsteən, , , jaːn, hɔːdə, , , , , , ˈtrjoːə, , , , , , , , , , , , , ˈmwanə, , ˈvɛtər, rai̯n, , , seː, , stiə̯n, , , , , , , , sniə, iːs, , fjuə̯r, ˈjɪskə, , , bɛrx, , ɣriə̯n, , vit, , ˈnaxt, , iə̯r, vaːrm, , , nɛi̯, ɔːt, , , , , , , , , , , , , , , , , , , , ɛn, ɔs, , 
 ga, mʲeː, t̪ˠuː, ʃeː, mˠɪdʲ, t̪ˠuː, ʃiəd̪ˠ, ʃɔ, ənˠ, , ənʲˈʃɪnʲ, ceː, kad̪ˠ, , kəˈhɪnʲ, ˈkʊnˠəsˠ, n̠ʲiː, ˈɪlʲə, əˈl̪ˠɑːnˠ, ɾˠəɪn̠ʲtʲ, bʲɔɡ, ˈɛlʲə, iːnˠ, d̪ˠoː, tʲɾʲiː, ˈcahəɾʲ, kuːɟ, , ˈfˠɑd̪ˠə, ˈl̠ʲahənˠ, tʲuː, t̪ˠɾˠuːmˠ, bʲɔɡ, ɟaːɾˠ, kuːŋ, keːl̪ˠ, bʲanˠ, ˈd̪ˠɪnʲə, , ˈpˠɑːʃtʲə, bʲanˠ, fʲaɾˠ, ˈmˠɑːhəɾʲ, ˈahəɾʲ, anʲəvʲiː, iəsˠk, eːnˠ, ˈmˠad̪ˠɾˠə, , ˈn̪ˠæhəɾʲ, pʲeːʃtʲ, kɾˠaun̪ˠ, kiːlʲ, ˈbˠat̪ˠə, ˈt̪ˠɔɾˠə, ʃiːl, ˈdʲɪloːɡ, fʲɾʲeːvˠ, ɾˠuːsˠk, bˠl̪ˠɑː, fʲeːɾˠ, tʲiad̪ˠ, ˈkɾˠacən̪ˠ, fʲoːlʲ, fˠɪlʲ, knɑːvʲ, sˠail̠ʲ, uː, əiɾˠk, ˈɾˠɨbˠəl̪ˠ, ˈclʲɛtʲə, ɡɾˠuəɟ, caun̪ˠ, klˠuəsˠ, sˠuːlʲ, sˠɾˠoːnˠ, bʲia̯l̪ˠ, ˈfʲiəkəlʲ, ˈtʲaŋə, , kɔsˠ, kɔsˠ, ɡl̪ˠuːnʲ, l̪ˠɑːvˠ, ˈʃcɪhɑːn, ˈbˠɔlˠəɡ, ˈɪn̠ʲiː, ˈmˠɪnɑːl, d̪ˠɾˠiːmʲ, , kɾˠiː, eː, oːl̪ˠ, ɪ, , sˠuːɟ, , ˈaʃɪɟ, ʃeːdʲ, , ɡɑːɾʲ, fʲɛc, klˠɔʃ, , capˠ, , ˈaɡlˠə, ˈkɔd̪ˠɪlʲ, mˠaɾʲ, , ˈmˠaɾˠə, t̪ˠɾˠɪdʲ, ˈʃɛlʲɪɟ, , ɟaːɾˠ, , , , ˈt̪ˠɔxəlʲ, sˠn̪ˠɑːvˠ, kɪˈlʲoːɡ, ʃuːlʲ, t̪ˠaɾˠ, bʲɾʲeːɡ, sˠɪɟ, ʃasˠ, kɑsˠ, tʲɪtʲ, ˈt̪ˠuːɾʲ, ˈkɪn̠ʲə, , ˈkɪmʲɪlʲ, nʲɪɟ, ˈkɪmʲɪlʲ, , , kɑh, , , ɾˠiːvˠ, ˈabˠəɾʲ, kanˠ, ˈɪmʲəɾʲ, , , , , ɟɾʲiənˠ, ɟəˈl̪ˠɑx, ˈɾˠeːl̪ˠt̪ˠə, ˈɪʃcɪ, ˈbˠɑːʃtʲəx, əunʲ, l̪ˠɔx, , ˈsalˠən̪ˠ, klˠɔx, ˈɡanʲəvˠ, dʲanˠəx, , ˈsˠkamˠəl̪ˠ, coː, eːɾˠ, ɡeː, ˈʃnʲaxt̪ˠə, əiɾʲ, ˈdʲat̪ˠəx, ˈtʲɪnʲə, l̪ˠuə, d̪ˠoːɟ, ˈbˠoːhəɾˠ, ʃlʲiəvˠ, ˈdʲaɾˠəɡ, ɡlˠasˠ, bˠiː, bˠɑːn̪ˠ, d̪ˠʊvˠ, ˈiːhə, l̪ˠɑː, bʲlʲiənʲ, tʲɛ, fˠuəɾˠ, l̪ˠɑːnˠ, n̪ˠuə, ʃanˠ, mˠa, ˈd̪ˠʊnˠə, ˈl̪ˠɔfˠə, sˠəˈl̪ˠax, ˈdʲiːɾʲəx, kɾˠiːnʲ, ɟeːɾˠ, , kiːnʲ, fʲlʲʊx, ˈtʲɪɾʲəmʲ, , d̪ˠlˠuː, ˈfˠɑd̪ˠə, , clʲeː, ə, ɪ, lʲɛ, ˈɑɡəsˠ, mˠɑː, oːɾʲ, ˈanʲəmʲ
 gd, mi, hu, ɛ, ʃiɲ, hu, iət̪, ʃɔ, ʃɪn, , , koː, tʲeː, , , , , , ˈiməɣ, , , ˈelə, ɯːn, , , , koːɡ̊ʲ, , fad̪̊ə, , tʰʲu, , pek, ˈkɤɾʲɪtʲ, kʰɯːɫ̪, , b̥ɛn, t̪ɯɲə, , , , , ˈmaːhəɾʲ, ˈahəɾʲ, , , ian, kuː, , , , , ˈkʰɤʎə, , , , , , , , ˈfiəɾ, , , , , , , u, , , , , , , s̪uːl, s̪t̪ɾɔːn, piaɫ̪, , tʰʲɛŋɡə, , kʰas, kʰas, , ɫ̪ãːv, , , , , kʰuːɫ̪, kʰʲiəx, , , ɔːɫ̪ , , , ˈtʲo.al, , , , , , , , , , , , , , , maɾav, , ˈʃaɫ̪ak, ˈbuɪl, kʲaːrˠ, , , , , , , , hikʲ, , , , , t̪uʰtʲ, , kʰuːm, , , , , , , ˈtʃʰilikʲ, , , , ˈapɪɾʲ, , , , , rˠɔː, , , , rˠeːɫ̪, ˈɯʃkʲə, ˈɯʃkʲə, , , , , , , , , ɲiaɫ̪, , , , , , t̪ɔʰtʲ, ˈtʰʲenə, , ɫ̪ɔʃɡ̊ʲ, , , ˈtʲɛrɛk, ˈuəɲə, ˈb̥ujə, kʲaɫ̪, t̪ʊv, , , , , fuəɾ, lɑːn, uːɾ, ʃɛn, maː, ˈt̪ɔnə, , , tʲiːɾʲəx, kʰruɪɲ, , , miːn, flux, ˈtʃʰiɾəm, , dɫ̪uː, , , kʰʲaːrˠ, , , , , , ˈɔir, 
 gl, ˈew, , ˈel, , , , , , , , , , ˈonde̝, , , ˈnʊŋ, , , , , , , , , , , , , , , , peˈkeno̝, , , , muˈʎɛɾ, ˈɔmɪ, , ˈne.na, esˈposa̝, , ˈnaj, , , ˈpejʃe̝, , , , ˈsɛɾpe̝, ˈbɛɾme̝, , ˈbɔske, , ˈfɾojta̝, seˈmɛnte̝, ˈfo.ʎɐ, raˈiθ, , , ˈɛɾβa̝, , , , , ˈɔso̝, , ˈɔ.βʊ, ˈkɔɾno̝, ˈraβo̝, ˈplumɐ, kaˈβ̞elʊ, ˈtɛsta̝, , ˈoʎʊ, naˈɾiθ, , , , , ˈpɛ, , ʃeˈonʎo̝, , aː, banˈduʎo̝, , pesˈkoθo̝, ˈlombo̝, , , , , , , t͡ʃuˈt͡ʃaɾ, kusˈpiɾ, , , , , , ɔˈiɾ, , , , , , , , , , , , , , , , eskaˈβaɾ, , ˈmoska̝, , , , , , , , , , espɾeˈmeɾ, , , , , , , , , , diˈθiɾ, , , , , ʃeˈaɾ, , s̺ol, ˈluɐ, es̺ˈtɾelɐ, ˈaw.ɡa, ˈt͡ʃuβja̝, ˈri.o̝, ˈlaɣo̝, , s̺al, ˈpɛðɾɐ, ˈʃaβɾe̝, pɔ, , , ˈnɛβo̯a̝, ˈθɛ.ʊ, ˈbento̝, ˈnɛβɪ, ˈʃe.ʊ, ˈfume̝, ˈlu.mɪ, , , esˈtɾaða̝, monˈtaɲa̝, beɾˈmeʎo̝, ˈbeɾðe̝, , ˈbɾaŋkʊ, ˈneɣɾʊ, ˈnojt̪ɪ, ˈd̪iɐ, , ˈkɛnt̪ɪ, ˈfɾiʊ, ˈt͡ʃeo̝, ˈnɔ.βʊ, , ˈbo, , ˈpoðɾe̝, , , reˈðondo̝, , , , , , , , , , , , , ko̝ŋ, , , , 
 gn, ʃe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɨʋɨˈtu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 gu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , dʒibʱ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 gv, miː, , , , u, , , , , , , , , , , , , , , , , nɛːn, d̪eː, t̪riː, kʲeːə(r), kwɛɡ, , , , , , , , , , bɛᵈn, , , , , , maːɹ, ˈeːar, , jiːst, ˈoʒaɡ, ˈmɔːðə, , , beˈʃtʲeːɡ, ˈbilʲə, kiːlʲ, , meːs, , ˈd̪olʲaɡ, , ruːs, , feːə, , ˈkraːɣən, feːlʲ, folʲ, kreːw, , au, , , , , caun, kleːʃ, suːlʲ, st̪rudʲnʲ, ˈbiəl, , ˈtʃɛnʲə, , , , ɡlʲuːnʲ, , ˈskiːən, , , , d̪riːm, , kriː, eːn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɡriːn, eːs, , ˈuʃtʲə, flʲaː, aunʲ, laːx, , ˈsolan, klaːx, ˈɡʲanʲax, dʒaun, , , kʲeː, , ɡiː, ˈʃnʲaxt̪ə, , ˈd͡ʒeːax, , , , reːd̪, slʲuː, , , , , , ɛi, , blʲeːnʲ, , , lɛdn, , , , , , , , , , , , , , , , , , , , , , , , , 
