word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
sew,,ˈɤmblemɑ,ˈsʲuːtʲɪ,ˈɤmːɤɑ,,,ˈumplɤmɑ,,,,,,,,,,,xia,tʃʼälä,ʂɨtʲ,,,,syː,,,,,,,,ˈsu.oː,kuˈzi,,ˈkiːp̚t͈a̠,,,jep̚˦˥,ˈomːelːɑ,,,,,xəw˧˧,ˈombeltɑ,ʂɨt͡sʲ,,,,,,səʊ,,kudʁ,,,,,ˈnaːjə(n),ˈvɒrː,taˈfar,,kuˈtʃire,,,,,kʼɛrvä,,,,,ˈʃijə,,ˈomːelːɑ,,,,ʃūːt,,ˈbitsen,,,,kɑˈɾɛl,ʂɨt͡ɕ,liʃχbi,t͡ɕʰoʊʔ,ˈumblɨ,ˈnɛːən,,nupu,,,,,xajtˁ,ˈsøyːma,,,ɔtʃʼu,,,ko.ˈser
at,,ˈl,pɐs,ˈlːɑ,*la,,ˈl,,pəɾ,,,,,,,,,,,vɛ,,,,,,,tʰiː˧˧,,u,,,in,a,,,,la,tʰiː˥˩,ˈlːɑ,,vɔ,poː,,,ˈl,,,,,,poː,æt,,a,,,ˈston,,ɔp,,,ˈa,a,dæɾ,,,ʊiː,zɛ,,,,pri,,,ˈlːɑ,,,,,ʊrθ,,ə,,ˈnə,,u,ʒi,m̥à,ˈjuːsɨ,an,di,de̞,,,,,ˈʕind̪æ,,,,,,,en
fall,ˈpadatɪ,ˈkukːumɑ,,ˈlɑngɤtɑ,,,ˈsːɑtɑmɑ,,ɡɪɾ.nɑː,,d̥ʰlāk´,,,,,,,pɔ.ɹa,dɔntʰχäpʰä,ˈpadətʲ,t̪uʰtʲ,,,,,,,,ˈpadat,ˈkɛtɯn,,ˈka.doː,ˈkaw.ɾə,ˈpɔɽa,nʌ̹mʌ̹d͡ʑida̠,,kəˈde̯a,tok̚˨˩,ˈkirvotɑ,,,falːa,,ŋaː˦ˀ˥,ˈkirbotɑ,,,,,,,fɔːl,dyʃˈmæk,tɔ̃.be,,,,,ˈvɑlə(n),ˈɛʃik,,kɐˈiɾ,kaˈdere,oftʰɒːˈdæn,,,fatl,dätsɛmä,ʊnəx,,,ˈpaːsti,ˈpad̪əm,,ˈpudotɑ,,,,,ˈsərθjɔ,,tʲɪtʲ,,ˈbiɛ,əŋkˈnɛl,ˈspa.dat͡ɕ,liwɛχ,t͡ɕa̰,ˈsɑd̪ːɨ,ˈfaln̩,,ot͡su,,pɐ́.t̪ɐ.t̪i,,,wa.qa.ʕa,ˈfatla,,fal,gɛntʰχinu,,ɡɪrˈna,kaˈeɾ
woman,ˈʒʲinkɐ,ˈnɑine,ˈmoːtʲɛrʲɪs,ˈnɑin,,qɑˈtɯ̞n,ˈnɑːnɤ,,ˈɔːɾət̪,stɾi:,s̥rī,ˈʒe.na,teldu,,bɛᵈn,pemagu,tukud,maɪ.ki ma.nuʱ,ɔsuri,ˈʐɛnʲɕːɪnə,b̥ɛn,emma:ti,,ˈkʰvenə,ponna:ɭə,peɳɳə,pʰuː˨˩ ɲiŋ˦˥,peɳ,ˈʒɛna,,mukka,ˈfeː.mi.na,ˈdɔ.nə,,jʌ̹sʰʌ̹ŋ,pəɳakkən,feˈmeje,pʰuː˥˩.jiŋ˩˩˦,ˈnɑine,njaaɽi,ˈʒɛna,ˈkvɪnːˌa,,fu˧˨ʔ nɨ˦ˀ˥,ˈnɑine,ʐanˈt͡ʂɨna,tusmo:gə,úm̩fâːzi,,ɖoli,²kʋɪnːə,ʊ,,fam,na:taʋa:d,hengasu,ʝiˈne̞ka,ʂəˈd͡za,vrɑu̯,ˈnøː,,muˈʎɛɾ,ˈdɔn.na,,panitʃi,pondʒa,,kʰäli,,ˈmká.zi,ˈfenno,ˈʒèːnska,ʒɛˈna,ˈnisuː,ˈnɑinen,tūk,,,,,fʀa,bʲanˠ,,ˈɡɾua,kin,kɔˈbʲɛ.ta,zuräl,méɪɴma̰,ˈnɑi,fʁaʊ̯,wanita,õ̞nːa̠ no̞ çi̥to̞,muˈʎɛɾ,s̪t̪ɽíː,,muɾtad,ʔim.ra.ʔa,ˈkʰɔːna,kaˈdɯn,,ɔχɔrdʒä,ba:ji,,muˈxeɾ
wash,,ˈpesemɑ,,ˈpezeɑ,,,ˈmɤsːkːmɑ,maɡ.ˈhu.ɡas,ˈd̪ʱoː.n̪ɑː,,lāṅ,,,,,,,dʱʊa,rtʃχuälä,mɨtʲ,,,,,,,,,miːt,,,ˈla.woː,rənˈta,,ɕ͈it̚t͈a̠,,,laːŋ˦˥,ˈpesːæ,,,,,zɨə˧˩,ˈpestɑ,,,,,,,wɒʃ,juˈmɑχ,la.ve,,,,,ˈʋɑsə(n),ˈmoʃ,,lɐˈvaɾ,,ʃostæn,,,,rɛtsχvä,,,,,,,ˈpestæ,,,ʃustæn,mazɡâːt,ˈɡɔlχɪ,,nʲɪɟ,,,ləˈvɑl,mɨt͡ɕ,liʃqʼwdi,sʰé,ˈpie̞zzɨ,ˈvaʃən,,a̠ɾa̠ɯ̟ᵝ,,,,,,θvɔː,,,ɔtʃχu,,d̪ʱuːn̪aː,
smoke,dɪm,ˈsuits,,ˈsɑvːu,*du.ba,tʏ̞.ˈtʏ̞n,ˈsːɑu,,d̪ʱuː.ɑ̃ː,poga,p̥ʰsaeṅ,ˈdim,mo:ha,,ˈd͡ʒeːax,pegu,poa:g,,kʼumä,dɨm,t̪ɔʰtʲ,hoge,,røj,poge,puka,,pukai,diːm,,mosaga,ˈfuː.mus,ˈfum,,ˈjɘːnɡi,pəggi,,kʰwan˧,ˈsɑvu,mo:ʃ,,,,xɔj˧˦,ˈsɑvu,dɨm,pukuɖti,íntuːtʰú,,,,sməʊk,tysˈty,fy.me,kumpo:ɖ,hoge,kaˈpno̞s,d̪od̪,roːk,ˈfyʃt,,ˈfu.mu,,,poge,poga,ˈɹɔiːjkʊɹ,bɔli,ʊtʰa,ˈu.t͡sí,,ˈdím,,ˈsuo̯vva,ˈsɑʋu,tūk,,,,muːɡ,damp,ˈdʲat̪ˠəx,,,t͡suχ,dɨm,zinqʰ,ʔəkʰó,ˈsov,ʁaʊ̯x,asap,keburi,ˈfume̝,d̪ʱuː.mɐ́,,poja,du.xaːn,ˈreiːkʏr,,,kʼɔmä,pog,d̪ʱuã,ˈumo
red,t͡ʃeˈrwɔnei̯,ˈpunɑne,rɐʊˈdoːnɐs,ˈkɑuniz,*dmar.po,,ˈverːev,pʊˈla,lɑːl,eɾupu,k̥rhm,ˈt͡ʃɛrvɛniː,e:so,,,netiɾ,tukud,ɹɔ.ŋa,tʃʼitʰä,ˈkrasnɨj,ˈtʲɛrɛk,keppə,ˈɐħmɐr,røːd,tʃo:pə,tʃumappə,,cem,ˈt͡ʃɛrvɛniː,,kheso,ˈru.be.us,ˈrɔt͡ʃ,,p͈a̠ɭɡa̠tʰa̠,tissəgaɳɖa:ngi,ˈro.ʃu,dɛːŋ˧,ˈruskie,xi:sun,,røːd,,ʔɗɔ˧˩,ˈrusked,t͡ʂɨˈrvonɨ,keppə,,,netuɾi,ræʉ,ɹɛd,,ʁuʒ,eɾɾa,kempu,ˈkocinos,sur,roːt,ˈpiroʃ,,vɨɾ.ˈmɐ(j).ʎu,ˈros.so,ɢeɾˈmez,tʃo:pə,kempu,,tsʼitʰɛli,,,,ərˈdɛ́tʃ,tʃɛrˈvɛn,,ˈpunɑinen,key,,,sâɾkans,koːχ,ʀəʊt,ˈdʲaɾˠəɡ,,kuc,kɑɾˈmiɾ,t͡ʂɛrˈvɔ.nɨ,tsʼərni,nì,ˈpunːi,roːt,merah,akaki,beɾˈmeʎo̝,ɽu.d̪ʱi.ɽɐ́,,eɾɾag,ʔaħ.mar,ˈrøyːðʏr,kɯɾmɯzɯ,roːi̯,mtʃʼitʰä,jeruɖi,lal,ˈroxo
correct,,ˈɤige,,ˈɤikɤɑ,,dʏ̞ˈrʏ̞θ,ˈɤikɤ,,sə.ɦiː,,,,,,,,,xu.dʱɔ,tʰinu,ˈpravʲɪlʲnɨj,,,,,,,kɛ᷈ː,,ˈspraːvniː,,,,koˈrɛk.tə,,o̞ɭtʰa̠,,koˈrekt,tʰuːk̚˨˩,ˈoikie,,,,,ʔɗʊwŋ͡m˧˦,ˈoiged,praˈvʲilʲnɨ,,,,,,kəˈɹɛkt,,kɔʁɛkt,,,so̞ˈsto̞s,,,ˈhibaːtlɒn,,ku.ˈʁɛ.tu,korˈrɛtto,doˈɾos(t),,,,stsʼɔri,,,,praˈʋíːlən,ˈvɛrɛn,,ˈoikeɑ,,tə.pat,,paɾɛ̄īs,ˈkəu̯ɪr,,,,,t͡ʃiʃt,pra.vʲiˈdwɔ.vɨ,mɛgu,m̥àɴ,ˈɨigi,kɔˈʁɛkt,bə.na(r),,,,,,sˁa.ħiːħ,ˈrjɛht,,,mtʰini,,səɦiː,koˈreɡto
horn,,ˈsɑrʋ,ˈrä̌ːɡɐs̪,ˈsɑrvi,,mʏ̞ˈɡʏ̞ð,ˈsːɑrv,,siːŋɡ,kommu,s̥naeṅ,ˈrɔx,maɾgadu,,,bʰulo:gam,kaɾ gutʃul,xiŋ,kʰä,rok,,kombə,,,kombə,kompə,kʰao˩˨,kombə,ˈrox,,maɾag,ˈkor.nuː,ˈba.ɲə,,p͈uɭ,kombbə,korn,kʰaw˩˩˦,ˈsɑrvi,maɾgʰ,,,,sɨŋ˨˩,ˈsɑrv,,ku:ɾ,úːpʰoːndo,,,hʊrn,hɔːn,bujnuz,kɔʁn,komm,kombu,,,ɦoːrn,ˈsɒrv,,ˈʃi.fɾɨ,ˈkɔr.no,ʃɒx,kombə,kombu,hɔtn,rkʰä,ewər,,,ˈróːk,,ˈt͡ʃoɑ̯rːviː,ˈsɑrʋi,tūk,,ʃɔːx,ɾaks,kɔrn,,əiɾˠk,,,jɛʁd͡ʒˈjuɾ,ruk,mitʃʼw,d͡ʑò,ˈsorɑ,hɔrn,,ka̠do̞,ˈkɔɾno̝,ɕr̩ŋ.ɡɐ́,,koɾ,qarn,hɔrtn,,,kʰrä,kommu,sĩɡ,ˈkwerno
fight,,ˈʋɤitlemɑ,,ˈtɑpːɤɑ,,,ˈtːɑpːlɤmɑ,a.ˈwaj.in,ləɽ.nɑː,,vāytp´,ˈbɔjɔvac,,,,,,zũza,tʃχupʼi,ˈdrat͡sːə,,,,,,,tɔː˧˧ suː˨˩,,ˈbojovat,,,ˈpuɡ.noː,ʎujˈta,,ta̠tʰuda̠,,,suː˥˩,ˈtoruɑ,,,,,t͡ɕiən˧˦ ʔɗəw˧˦,ˈtorɑtɑ,,,,,,,faɪt,,batʁ,,,,,ˈstrɛi̯də(n),ˈhɒrt͡sol,,lu.ˈtaɾ,lɔt.ˈta.re,,,,,tʃχubi,,,,,,,ˈtɑpelːɑ,,,,,,,t̪ˠɾˠɪdʲ,,,kərˈvɛl,ˈval.t͡ʂɨt͡ɕ,litsuäl,jàɴpʰjɪʔ,ˈt̪ɑplɨ,kɛm(p)fən,,,,,,,qaː.ta.la,,,,ɔkʼɔkʼidinu,,,peleˈaɾ
wife,druˈʐɪnɑ,ˈnɑine,,ˈnɑin,*skʲe.dman,qɑˈtɯ̞n,ˈnɑːnɤ,,,,p̥rbn̥dʰ,,,,,,,ɡʱoɪ.ni,ɔsuri,ʐɨˈna,,,,,,,mia˦˥,,ˈmanʒɛlka,,,ˈuk.sor,ˈdɔ.nə,,a̠ne̞,,,pʰa˦˥.ri˦˥.jaː˧,ˈɑkːɑ,,ˈʒɛna,hɵ̄sːtrʉ̂ː,,vəː˧˨ʔ,ˈɑk,ˈʐonka,,,,,,waɪf,,fam,,,,ʂəˈd͡za,vrɑu̯,ˈɒsːoɲ,(ʔ)iˈʃa,es.ˈpo.za,ˈspɔ.za,,,,,tsɔli,,,ˈfenno,ˈʒɛ̀ːna,ʒɛˈna,,ˈʋɑimo,,istri,,sīɛ̄va,ɡuˈrai̯ɡ,,bʲanˠ,ˈɡwʁɛːk,ˈɡɾua,kin,ˈʐɔ.na,χɛχw,məjá,ˈnɑi,,,t͡sɨᵝma̠,esˈposa̝,pɐ́t̪.n̪iː,,,zawd͡ʒa,ˈeiːjɪn.kʰɔːna,,,ɔχɔrdʒä,,,esˈposa
cloud,,ˈpilʋ,,ˈpilvi,*sprin.pa,bʊ̞ˈɫʊ̞t,ˈpːilv,,meːɡʱ,me:gʰamu,bbk,,badli:,,,me:gam,tukud,daɔɹ,munäpʰä,ˈobləkə,ɲiaɫ̪,mandʒu,ˈsħaːbɐ,,mo:ɖa,mekʰam,mêːk,me:gam,mrak,,bada:li,,,,kuɾɯm,mo:ɖə,nor,meːk̚˥˩,ˈpilvi,dʒammaɾ,,,,məj˧˧,ˈpilvʲ,ˈxmara,me:gam,íːfu,,ha:gu,ʃyː,klaʊd,,ny.aʒ,mabbu,mēgha,ˈsinɛfɔ,,ʋɔlk,ˈfɛlɦøː,(ʕ)aˈnan,ˈnu.vɐj̃,ˈnu.vo.la,(ʔ)æbɾ,mo:ɖa,mo:ɖa,skʊt͡ʃː,ʁrubɛli,,mˈta.ᵐbo,,ɔˈbláːk,,ˈpalːva,ˈpilʋi,malgur,,,,ˈkʊmʊl,ˈvolək,ˈsˠkamˠəl̪ˠ,ˈku.mul,,ɑmp,ˈxmu.ra,mɛrɛ,tèɪɴ,ˈpiːlɑ,ˈvɔlkə,a.wan,⟨kumo1⟩,,mɐj.ɡʱɐ́,fɯ˥,mabbu,sa.ħaː.bah,sciː,buˈɫ̩ut,vɔlk,pʼulä,a:bar,meːɡʱ,
kill,,ˈtɑpmɑ,,ˈtɑpːɑː,*ksot,,ˈtːɑpːmɑ,,mɑːɾ‿ɖɑːl.nɑː,tʃampu,sm̥lāp´,ˈzabic,badʒpo,,,ta:ʋiɾ,tukud,,ʔviluä,ʊbʲɪˈvatʲ,maɾav,koppə,ˈʔaːtɛl,,kollə,kolluga,kʰaː˨˩,kollə,ˈzabiːt,,eɖabna,ˈok.ki.doː,məˈta,,t͡ɕuɡida̠,kenga:ɭ,omoˈrɨ,kʰaː˥˩,ˈtɑpːuɑ,kasfing,ˈubiva,ˈdøːda,,ziət̚˧˦,ˈriktɑ,,keɖukisti,,ˈtɛjtn̩,,,kɪl,œldyrˈmæk,ty.e,aʋaka:,kollu,skoˈtono,,ˈdoːdə(n),ˈøl,,ma.ˈta(ʁ),utˈt͡ʃi.de.re,kʰoʃˈt̪ʰæn,kollə,keɾijaɾa,,kʼvlä,,,,uˈbìːti,oˈbivəm,ˈkodːdiːh(t),ˈtɑpːɑː,tūk,məmbunʊh,kuʃtæn,nâːvɛ̂ːt,ɬaːð,,ˈmˠaɾˠə,,,spɑˈnɛl,zaˈbʲi.jat͡ɕ,lidgæri,θaʔ,ˈt̪ɑpːɨ,ˈtøːtən,məmbunoh,ko̞ɾo̞sɨᵝ,,ɦɐ́n̪.t̪i,,haʋka,qa.ta.la,ˈtrɛːpa,,,ɔqʼvilu,alangʈa:n,marna,maˈtaɾ
squeeze,,ˈpigistɑmɑ,,ˈlutisɑː,,,ˈpːitːsːitːæmæ,,,,kiap,,,,,,,,mɔntʃʼirä,ʐːɨˈmatʲ,,,,,,,,,,,,ˈkom.pri.moː,əsˈpɾe.mə,,t͡ɕ͈a̠da̠,,,biːp̚˨˩,ˈlitʃɑtɑ,,,,,ʔɗɛ˨˩,ˈɑhtiʃtɑdɑ,,,,,,,skwiːz,,pʁɛ.se,,,,,ˈklɛmə(n),ˈɲom,,,,,,,,mɔtʃʼɛrä,,,,,,,ˈpuristɑː,,,,,,,,,,sɛʁˈmɛl,ˈɕt͡ɕi.skat͡ɕ,litʰlɛ,ɲ̊ɪʔ,ˈpiːkst̪ɨ,ˈdʁʏkŋ̩,,,espɾeˈmeɾ,,,,,,,,ɔzdimu,,,ekspɾiˈmiɾ
dust,,ˈtolm,,ˈtolmu,*tʰal.ba,sɑŋ,ˈtːolm,,d̪ʱuːl,,dʰūlī,,,,dʒaun,,,dʱu.li,tʼvɛri,pɨlʲ,,,,støːv,,,,,,,,ˈpul.wis,ˈpols,,mʌ̹nd͡ʑi,,,fun˨˩,ˈpøly,,,dam,,ʔɓuj˧˨ʔ,ˈpøly,pɨɫ,,úːtʰuːli,,,,dʌst,toz,pu.sjɛʁ,,,,,,ˈpor,,ˈpɔ,ˈpol.ve.re,,,,,mtʼvɛri,,ˈfu.ᵐbí,,ˈpráːx,,ˈkavːja,ˈpøly,,,,,ɬuːχ,ʃtəps,dʲanˠəx,,,pʰoˈʃi,kuʂ,pʼisw,pʰòʊɴ,ˈpɨrm,ʃtaʊ̯p,haboʔ,,pɔ,d̪ʱuː.l̪i,,,ɣu.baːr,rɪːk,toz,stɔf,mtʼvɛri,,d̪ʱuːl,ˈpol.bo
father,ˈbɑtʲkɔ,ˈisɑ,ˈtʲeːvɐs,ˈisæ,,ɑˈtɑj,ˈesːæ,,pɪ.t̪ɑː,,ýubuk,ˈɔcɛt͡s,,hai̯t,ˈeːar,,,dɛʊ.ta,mumä,ɐˈtʲet͡s,ˈahəɾʲ,,,,,,pʰɔː˦,,ˈotɛt͡s,,,ˈpa.ter,ˈpa.ɾə,abba,a̠bʌ̹d͡ʑi,,ˈta.tə,pʰɔː˥˩,ˈtuɑto,,,,dɑdɑ,ʔɓaː˧˧,ˈtɑt,ˈbat͡sʲka,,úɓaːɓá,ˈfɔtəʁ,,,ˈfɑː.ðə(ɹ),ɑˈtɑ,pɛʁ,,,paˈteras,,ˈvaː.dər,ˈɒpɒ,(ʔ)av,paj,ˈpa.dre,pʰeˈd̪æɾ,,,ˈfɛaːjɪɹ,mämä,,ˈɓa.ᵐbo,ˈpajɾe,ˈɔ̀ːtʃɛ,bɐˈʃta,ˈaːhːt͡ʃiː,ˈisæ,,bapa,,tǣːws,taːd,pɑp,ˈahəɾʲ,ˈtɑːt,baba,hɑjɾ,ˈɔj.t͡ɕɛt͡s,mu,ʔəpʰè,ˈizɑː,ˈfaːtɐ,bapə,ototosama,,pi.t̪ŕ̩,,,ʔab,ˈfaːðɪr,bɑˈbɑ,fɑːdər,bäbä,,pət̪ɑː,ˈpadɾe
thick,,ˈpɑks,,ˈpɑksu,,qɑˈɫɯ̞n,ˈpːɑkːsː,,,,juk,ˈtɫ̩stiː,,,,,,,ʃχu,ˈtolstɨj,tʰʲu,,,tyk,,,,,ˈtlustiː,,,ˈkras.sus,,,tuk͈ʌ̹p̚t͈a̠,,ɡros,naː˩˩˦,ˈpɑksu,,,ɕɔk,,zaj˨˩,ˈpɑks,ˈtou̯stɨ,,,,,çʊkː,θɪk,,e.pɛ,,,,ɖaˈbəl,dɪk,ˈvɒʃtɒɡ,,iʃ.ˈpe.su,ˈspes.so,,,,t͡ʃʰʏʰkːʊɹ,skʰɛli,t͡sʊt͡saŋ,,,ˈdɛ̀ːbɛw,dɛˈbɛl,,ˈpɑksu,,,,,teːu̯,,tʲuː,,,hɑst,ˈɡru.bɨ,sgɛl,tʰù,ˈjɑmd̪i,dɪk,,,,,,,sa.miːk,ˈθjɛhtʏr,,,pʼɛdʒi,,,ˈɡɾweso
they,wɔˈnɪ,ˈnemɑd,jæ,ˈnæmæd,,uˈɫɑr,ˈnimæʔ,,ʋeː,,gāt´,ˈɔɲi,,ja,,,,xiʱɔt,tʰinɛpʰi,ɐˈnʲi,iət̪,,ˈuːmɐ,di,,,,,ˈoɲɪ,,,ˈi.iː,ˈeʎs,t̪ara,kɯdɯɭ,,jej,kʰaw˩˩˦,ˈhyø,,tiɛ,dɔm,uˈlɑr,hɔ˧˨ʔ,ˈhiː,,,ɓoːná,,,,ðeɪ,o(n)lar,il,,,,,zɛi̯,ˈøːk,,ˈe.lɨʃ,,ʔeːˈʃɒːn,,,tʰaiːɹ,isini,,ˈi.wó,,ˈɔ̀ːni,t̪ɛ,,ˈhe,,məreka,,,huːɨ̯,,ʃiəd̪ˠ,,aˈta,nəˈɾɑŋkʰ,ˈɔ.ɲi,ɛdʒær,θùdo̰,ˈne̞,ziː,mərekə,ka̠ɾe̞ɾa̠,,,,,hu.maː,θeiːr,onˈlar,,ɛntʰɛpʰɛ,,,ˈeʎos
three,trɪ,ˈkolm,,ˈkɤlmɤd,*ksum,ʏ̞s,ˈkːolm,tatˈlɔ,t̪in,,pī,ˈtri,,,t̪riː,,,tini,sumi,trʲi,,,,,,,saːm˩˧,,tr̝ɪ,,,treːs,ˈtɾəs,,sʰe̞ːt̚,,trej,saːm˩˩˦,ˈkolme,,,treː,yt͡ʃ,ʔɓaː˧˧,ˈkuːme,,,,dʁaj,,,θɹiː,ʏtʃ,tʁwɑ,,,ˈtri.a,d̪re,dri,ˈhaːrom,,ˈtɾeʃ,tre,,,,trʊdʒɪr,sämi,ɢʊrəw,,tres,ˈtríːjɛ,,ˈkolːpma,ˈkolme,,ti.ɡa,,trîːs,triː,dʀæi̯,tʲɾʲiː,,tɾɛ,jɛˈɾɛkʰ,tʂɨ,sɛmi,θóʊɴ,ˈkuolm,dʁaɪ̯,tiɡə,*/sam,,t̪ɽí,θaːm˨˦,,θa.laː.θa,θriːr,,,sum,,,tɾes
cut,,ˈlɤikɑmɑ,,ˈlɤikɑtɑ,,,ˈlɤikːɑmɑ,,kɑːʈ.nɑː,,kāt´,ˈrɛzac,,,,,,kɔ.ta,tʃʼkʼiruä,ˈrʲezətʲ,kʲaːrˠ,,,skɛːrə,,,,,ˈr̝ɛzat,,,ˈin.se.koː,təˈʎa,kɑʈɑ,k͈ɯntʰa̠,,,tat̚˨˩,ˈleikɑtɑ,,,ˈɧæːˌra,,kat̚˧˦,ˈtʃɑptɑ,,,,,,,kʌt,kæsˈmæk,ku.pe,,,,,ˈsnɛi̯də(n),ˈvaːɡ,,kuɾˈtaɾ,taʎˈʎare,boɾiːˈdæn,,,,tʃʼrä,,,,rézati,,,ˈleikɑtɑ,,,,ɡrīɛ̄st,ˈtɔrɪ,,ɟaːɾˠ,,,kətˈɾɛl,t͡ɕɔɲt͡ɕ,likʰtʃɛ,kaɪʔ,ˈiːe̞d̪ɨ,,,kʲiɾɯ̟ᵝ,,,,,,ˈscɛːra,cesmec,,ɔtʃʼkʼiru,,,
sea,,ˈmeri,ˈjuːrɐ,ˈmeri,,dʲiŋˈɡɪ̞ð,ˈmeri,,,,smud̥r,ˈmɔrɛ,,seː,,,,xaɡɔɹ,zʁvä,ˈmorʲe,,,ˈbaːħɐr,hav,,,,,mor̝ɛ,,,ˈma.re,ˈmar,,pa̠da̠,,ˈma.re,tʰa˦˥.leː˧,ˈmeri,,,ɧøː,,ʔɓiən˧˩,ˈmeri,,,ûːlwâːnɮe,,,hɑːʋ,siː,dæˈniz,mɛʁ,,,ˈθalasa,,zeː,ˈtɛŋɡɛr,,maɾ,ˈmaːre,dæɾˈjɒː,,,hɛaːv,zʁvä,taɮai,,,ˈmóːrjɛ,moˈrɛ,,ˈmeri,,,bæhr,jūːɾa,moːr,miːə̯,,ˈmoːʁ,dɛt,t͡sɔv,ˈmɔ.ʐɛ,dzuʁwä,pɪ̀ɴlɛ̀,ˈme̞r,meːɐ̯,laot,⟨umi1⟩,,s̪ɐ.mud̪.ɽɐ́,haːi˥,,baħr,haːv,,,zuʁä,,,ˈmaɾ
good,ˈdɔbrɪj,ˈheɑ,ˈɡʲæɾɐs,ˈyvæ,,jɑqˈʂɯ̞,ˈhæː,maˈbu.ti,ət͡ʃ.t͡ʃʰɑː,mantʃi,l̥ʾ,ˈdɔbriː,he:ɖu,,,oludə,tukud,bʱal,dʒgiri,xɐˈroʂɨj,maː,oɭɭajadə,ˈtɐjːɛp,ɡoð,nalla,nalla,,nalla,ˈdobriː,,da:ʋ,ˈbo.nus,ˈbɔ,bʱɑlo,ˈt͡ɕo̞ːtʰa̠,nall,bun,diː˧,ˈhyvæ,dʒua:n,,ɡuːd,jɑχʃi,tot̚˧˦,ˈhyvæ,ˈdobrɨ,ulti,,ɡʊt,nejun,,ɡʊd,jɑχˈʃɯ,bɔ̃,mantʃid,oɭɭijadu,kaˈlos,xə,ɣut,ˈjoː,,bõ,ˈbwɔː.no,xuːb,nallə,eɖɖedana,ˈkɔuːwʊɹ,kʼärgi,sɛ̃ːŋ,,,ˈdòːbər,doˈbɤr,,ˈhyʋæ,tūk,,,,daː,,mˠa,,majɾ,lɑv,ˈdɔ.brɨ,χɔtʃä,káʊɴ,ˈjɨvɑː,ɡuːt,baeʔ,joɕi,ˈbo,s̪ɑː.d̪ʱú,ɗei˨˦,assal,,ˈkouːðʏr,,χut,kʼäi,sobhatan,əˈtːʃʰaː,ˈbweno
hair,wɔˈlɔsʲːɐ,ˈkɑrʋ,,ˈivuz,,sæs,ˈkːɑrv,bu.ˈhok,bɑːl,veɳʈɾukalu,sk´,,ta:li,,,manɖə mi:ɾə,tʃendi,suli,tʰumä,ˈvoləsɨ,,oɾame,ʃaˁːr,,telami,muɖi,,muɖi,ˈvlasɪ,,tʃuʈʈi,ˈko.ma,kəˈbəʎ,tʃul,mʌ̹ɾikʰa̠ɭ,ta:kəɾə,,pʰom˩˩˦,ˈhivus,puʒʒɛ,ˈkɔsa,hoːr,,tawk͡p̚˧˦,ˈibus,ˈvoɫas,mi:ɾs,ûːnwéːle,hɔʁ,bana,hoːr,hɛə,sɑt͡ʃ,ʃə.vø,dʒuʈʈul,kūdalu,,,ɦaːr,ˈhɒj,sa.ʔaˈʁa,kɐ.ˈβe.lu,,mo,tilami,ku:dʒal,hɔaːɹ,tʰmä,,,,ˈláːs,koˈsa,,ˈkɑrʋɑ,tūk,,,mats,ɡwaːɬd,hoː(e)ʀ,ɡɾˠuəɟ,,ˈcimɛ,,ˈvwɔ.sɨ,pʰätʰw,zəbɪ̀ɴ,ˈkoːrɑ,haːɐ̯,rambot,,kaˈβ̞elʊ,kɐ́j.ɕɐ,,kel,ʃa.ʕa.ra,hauːr,sat͡ʃ,,tʰɔmä,ti:ɾu,bɒːl,kaˈbeʎo
how,,ˈkuidɑs,kaɪˑp,ˈkui,,,ˈkːui,,,,rpiapṇā,ˈjak,,,,,,kɛ.nɛ.koɪ,mutʃʼɔ,kak,,,,,,,,,jak,,,ˈkʷoː.mo.do,ˈkɔm,kibʱabe,ʌ̹t͈ʌ̹kʰe̞,,kum,jaŋ˧.ŋaj˧,ˈkui,,ˈkakɔ,hʉːr,,,ˈkut,,,ɠáɲdʒaːní,,,ˈkʊrlæɪs,haʊ,ˈned͡ʒæ,kɔ.mɑ̃,,,ˈpos,,ɦu,,(ʔ)eχ,ˈko.mu,ˈkome,,,,,rɔgɔr,,,,kaˈkòː,,,ˈkuinkɑ,,,,,sɨ̞t,vɜɪ,ˈkʊnˠəsˠ,,si,int͡ʃʰˈpɛs,jak,imʒi,bɛ̀,ˈkui,viː,,,,,,,kaj.fa,,ˈnɑ.sɯɫ,,mutʃʼɔ,,,ˈkomo
