,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,Unnamed: 185
ru,-,-,-,21.65388,-,-,-,23.06575,23.2135,-,-,23.15857,23.24321,7.74144,12.74333,-,-,-,22.64803,23.56478,23.2484,-,21.12518,-,-,-,-,11.69274,-,-,22.37167,22.17765,21.8771,-,-,-,20.97039,23.93762,20.51251,20.86734,-,-,22.02696,-,21.69621,-,21.7983,23.83478,21.78953,24.8697,24.55187,21.78493,-,-,22.95831,-,22.00906,22.88119,-,-,-,23.47667,23.86857,-,22.31057,22.49398,-,-,-,-,19.63479,21.67879,20.38759,-,23.41535,-,24.8086,-,-,-,-,-,25.60713,-,24.26177,-,-,20.20154,-,-,-,21.26347,22.17424,-,-,-,25.90781,19.47247,-,18.5928,-,-,-,15.49695,-,23.47229,-,20.94005,23.01265,26.23286,-,-,-,-,-,21.75647,22.29949,-,-,-,22.03777,20.89563,-,-,-,-,-,-,12.60162,23.46999,21.57826,-,-,-,21.04256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa,-,-,-,24.09244,-,-,-,21.87329,20.59968,-,-,21.90257,24.36154,19.92881,19.79306,-,-,-,18.46658,24.01149,24.49595,-,21.67355,-,-,-,-,20.09887,-,-,23.39236,23.44155,22.35961,-,-,-,19.25542,24.21398,19.65491,20.43686,-,-,19.96148,-,20.49551,-,23.62816,23.32546,24.24529,24.53288,24.96709,20.19957,-,-,25.39572,-,21.72197,18.82844,-,-,-,24.58211,23.44478,-,-,19.4969,-,-,-,-,20.11311,22.94962,19.01071,-,22.5681,-,22.93536,-,-,-,-,-,25.25672,-,23.3835,-,-,-,-,-,-,19.60413,23.1925,-,-,-,24.817,20.06792,-,21.31242,-,-,-,19.19621,-,25.49741,-,21.27331,22.85255,24.73423,-,-,-,-,-,23.01679,24.29934,-,-,-,21.42352,21.47026,-,-,-,-,-,-,20.1655,22.6632,20.68001,-,-,-,20.13079,20.79093,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,-,-,-,23.96584,-,-,-,22.02529,24.42655,-,-,22.00557,24.69587,22.1867,22.0158,-,-,-,23.18158,24.76406,25.26938,-,23.59671,-,-,-,-,21.66202,-,-,24.02356,23.92677,22.69495,-,-,-,20.70587,25.15459,19.90547,21.10475,-,-,22.90169,-,17.58316,-,22.27352,25.94066,22.64004,25.67423,24.46699,21.72548,-,-,24.64823,-,23.02966,23.88475,-,-,-,23.16016,23.41694,-,-,-,-,-,-,-,20.25204,22.41381,20.20806,-,23.10627,-,23.36779,-,-,-,-,-,26.04688,-,23.7121,-,-,-,-,-,-,21.80642,24.04305,-,-,-,26.45785,22.06744,-,21.83938,-,-,-,22.85493,-,26.21494,-,21.2958,22.13065,26.2713,-,-,-,-,-,23.27094,24.22433,-,-,-,20.57622,23.09751,-,-,-,-,-,-,22.89398,22.97095,22.56772,-,-,-,21.86305,22.95073,-,21.17828,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk,-,-,-,22.03842,-,-,-,22.61809,22.17371,-,-,22.2062,23.40364,10.27231,12.82232,-,-,-,22.2071,22.80389,22.80705,-,21.06484,-,-,-,-,5.37089,-,-,21.36297,21.57151,21.02181,-,-,-,20.4781,23.35351,20.25911,20.83766,-,-,21.09342,-,20.92439,-,22.37607,22.84024,20.51643,24.70768,23.52343,20.81326,-,-,22.72374,-,22.28742,22.16368,-,-,-,22.43549,22.75658,-,-,22.38741,-,-,-,-,20.69456,20.90167,20.41102,-,23.49439,-,23.59622,-,-,-,-,-,24.64563,-,23.40621,-,-,20.41126,-,-,-,21.07325,22.39039,-,-,-,24.30616,20.14942,-,17.31872,-,-,-,12.30596,-,23.82997,-,21.53656,21.44269,24.78009,-,-,-,-,-,21.48192,21.61839,-,-,-,21.95704,20.10037,-,-,-,-,-,-,9.27245,22.3224,21.31624,-,-,-,20.57924,11.85383,-,20.45167,-,-,21.6288,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl,-,-,-,20.00657,-,-,-,21.4613,22.17582,-,-,22.10724,22.74664,12.89979,10.19615,-,-,-,21.57749,22.80884,21.49039,-,20.16365,-,-,-,-,11.07273,-,-,20.95299,20.21869,20.3704,-,-,-,19.94365,22.75793,19.19745,20.32493,-,-,20.94928,-,20.28645,-,22.33691,21.84656,19.76327,24.0153,23.35848,20.64355,-,-,22.81146,-,21.92263,22.21511,-,-,-,22.00402,22.47517,-,22.11225,21.02616,-,-,-,-,19.82635,20.97058,19.42408,-,23.34348,-,23.79963,-,-,-,-,-,24.33711,-,23.25521,-,-,19.52555,-,-,-,19.82824,20.70409,-,-,-,23.73559,18.57104,-,17.49758,-,-,-,12.53804,-,24.15601,-,20.21856,21.58424,23.95873,-,-,-,-,-,20.77024,22.04481,-,-,-,22.08064,19.21035,-,-,-,-,-,-,12.68726,21.63286,20.77,-,-,-,19.65965,12.50497,-,20.44843,-,-,21.9339,-,-,10.4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq,-,-,-,21.1962,-,-,-,23.56179,22.71818,-,-,22.88483,22.45569,21.38015,19.74138,-,-,-,22.62872,23.99655,21.45066,-,20.38718,-,-,-,-,21.58205,-,-,19.82204,20.44352,21.7518,-,-,-,21.26089,21.94685,20.34674,20.83611,-,-,21.87498,-,22.73422,-,23.4006,21.9891,18.87083,21.74545,21.97898,22.22691,-,-,20.22764,-,23.3058,22.4393,-,-,-,21.52483,22.68579,-,-,20.70984,-,-,-,-,21.52066,23.258,20.51156,-,23.27526,-,24.36192,-,-,-,-,-,24.71524,-,24.33996,-,-,19.88182,-,-,-,21.22569,21.0225,-,-,-,22.00011,23.93485,-,21.38261,-,-,-,19.80708,-,22.39106,-,21.41201,21.76664,23.26081,-,-,-,-,-,20.8268,20.16455,-,-,-,22.71368,19.63249,-,-,-,-,-,-,21.78513,21.2511,21.23971,-,-,-,19.47988,21.77325,-,21.78322,-,-,23.86864,-,-,21.18323,20.19568,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv,-,-,-,15.74352,-,-,-,22.66099,21.85085,-,-,24.6419,23.51577,21.3742,20.39913,-,-,-,20.77904,25.74132,22.24247,-,20.27207,-,-,-,-,21.12812,-,-,20.83076,7.89059,14.28814,-,-,-,20.90702,17.0793,20.33794,21.49781,-,-,21.12131,-,21.47276,-,16.56564,21.83482,13.68019,22.82096,23.00849,21.86578,-,-,20.78968,-,22.32418,21.99879,-,-,-,22.27909,22.22895,-,-,20.9864,-,-,-,-,20.75588,15.55642,21.66369,-,24.16482,-,24.91806,-,-,-,-,-,23.81869,-,24.96884,-,-,18.2961,-,-,-,21.71051,14.8645,-,-,-,22.81587,23.4089,-,21.07532,-,-,-,19.12775,-,23.12101,-,22.33997,21.81794,24.27245,-,-,-,-,-,13.29933,8.12635,-,-,-,22.82498,19.26292,-,-,-,-,-,-,21.87032,21.28766,22.20451,-,-,-,20.75696,21.83178,-,22.64535,-,-,23.29574,-,-,20.63404,20.41857,-,-,-,20.626,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,-,-,-,-,-,-,-,21.7327,21.39512,-,-,22.77574,24.7528,20.85791,20.20028,-,-,-,-,24.13219,-,-,23.61512,-,-,-,-,22.55694,-,-,24.65064,23.42592,24.52523,-,-,-,19.61521,24.87466,20.26034,20.98472,-,-,21.52827,-,19.60186,-,23.70145,24.75277,-,26.11517,-,-,-,-,24.72206,-,22.18858,22.35087,-,-,-,23.66365,24.05017,-,-,-,-,-,-,-,19.83672,23.11986,22.22378,-,21.81238,-,21.07131,-,-,-,-,-,25.14875,-,22.91711,-,-,-,-,-,-,21.95214,24.49735,-,-,-,23.75785,-,-,20.9082,-,-,-,-,-,25.32652,-,19.64202,21.00297,23.2319,-,-,-,-,-,25.32385,-,-,-,-,19.33572,-,-,-,-,-,-,-,22.67711,-,22.09808,-,-,-,24.02736,22.78476,-,-,-,-,21.22673,-,-,21.65873,21.71379,-,-,-,21.39947,-,-,-,-,23.56048,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tg,-,-,-,21.90472,-,-,-,21.04148,20.6463,-,-,19.6509,22.20622,21.58395,20.31787,-,-,-,19.77169,25.24402,20.92424,-,20.70539,-,-,-,-,20.36945,-,-,20.40017,21.14839,19.69715,-,-,-,20.18878,21.85155,21.05028,20.49989,-,-,3.39043,-,21.03518,-,23.05022,21.35636,22.21459,23.76603,22.75734,21.17974,-,-,21.95685,-,20.8616,18.10526,-,-,-,20.73863,19.89988,-,-,-,-,-,-,-,18.82917,22.11326,20.10292,-,23.84397,-,23.29533,-,-,-,-,-,24.43136,-,22.22984,-,-,12.67011,-,-,-,20.65578,19.17657,-,-,-,24.23586,22.70093,-,20.95628,-,-,-,19.4898,-,22.27421,-,20.55975,20.58386,24.59646,-,-,-,-,-,18.86223,21.30983,-,-,-,22.76981,19.8848,-,-,-,-,-,-,22.2499,19.24644,20.36014,-,-,-,19.95279,20.97927,-,20.05433,-,-,22.815,-,-,21.00764,20.4175,-,-,-,20.69802,-,-,-,-,21.29136,-,-,20.23895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th,-,-,-,22.89235,-,-,-,24.01911,23.23244,-,-,24.78032,25.04073,24.91946,23.13961,-,-,-,23.08536,24.65306,23.92389,-,23.86792,-,-,-,-,24.00449,-,-,24.02251,22.31484,23.07965,-,-,-,24.52411,23.06325,24.70995,24.81192,-,-,23.71919,-,24.43103,-,25.64574,24.21553,23.51104,24.93694,23.71713,24.50023,-,-,24.14109,-,24.64664,24.10632,-,-,-,24.05961,24.8392,-,25.41534,24.2926,-,-,-,-,24.39667,24.99484,25.68894,-,24.97004,-,26.48968,-,-,-,-,-,22.5943,-,26.09428,-,-,23.46326,-,-,-,25.10047,22.87024,-,-,-,7.07071,27.32431,-,23.32662,-,-,-,23.68769,-,25.07431,-,22.59455,25.28832,23.03358,-,-,-,-,-,23.38967,23.95874,-,-,-,25.07207,24.67864,-,-,-,-,-,-,25.12562,24.56797,24.61618,-,-,-,23.51471,25.95252,-,24.46567,-,-,25.99494,-,-,24.77054,23.35521,-,-,-,22.11388,-,-,-,-,22.97701,-,-,24.77344,23.83711,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
tk,-,-,-,-,-,-,-,-,-,-,-,-,11.33666,-,-,-,-,-,-,-,-,-,22.57735,-,-,-,-,22.76109,-,-,21.76288,-,23.95971,-,-,-,-,23.24512,-,25.35044,-,-,-,-,-,-,-,23.59247,-,-,-,-,-,-,-,-,-,-,-,-,-,20.43596,23.54794,-,-,-,-,-,-,-,-,24.03072,25.06789,-,-,-,-,-,-,-,-,-,25.2345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.09415,-,-,-,-,-,21.92951,-,-,-,-,-,-,-,-,-,-,-,-,24.0211,-,25.76183,-,-,-,-,24.6613,-,-,-,-,-,-,-,24.59071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.31908,-,,,,,,,,,,,,,,,,,,,,,,,,,
tl,-,-,-,-,-,-,-,20.49582,23.72473,-,-,23.12662,25.17524,22.48047,22.05928,-,-,-,-,23.99143,-,-,24.17105,-,-,-,-,23.44753,-,-,23.2794,25.51971,23.7739,-,-,-,21.98333,25.93191,22.24439,21.71173,-,-,22.87695,-,22.71193,-,23.57239,26.41046,-,25.63242,-,-,-,-,-,-,-,24.17416,-,-,-,24.22778,23.60033,-,-,-,-,-,-,-,23.0928,24.34489,21.62821,-,23.49552,-,22.00166,-,-,-,-,-,26.70995,-,23.12038,-,-,-,-,-,-,22.09644,24.1538,-,-,-,24.46026,22.85542,-,20.78382,-,-,-,-,-,26.83356,-,14.70574,-,27.12955,-,-,-,-,-,23.34338,-,-,-,-,-,-,-,-,-,-,-,-,23.6795,22.73239,22.69207,-,-,-,23.44508,23.39201,-,-,-,-,21.88628,-,-,23.36016,22.7343,-,-,-,22.55883,-,-,-,-,24.82608,-,-,-,-,24.68535,-,-,,,,,,,,,,,,,,,,,,,,,,,,
tn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
to,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
tr,-,-,-,22.15298,-,-,-,22.98055,22.7745,-,-,6.1061,12.35433,22.03114,22.14779,-,-,-,22.70797,23.83523,23.62661,-,23.14671,-,-,-,-,22.12083,-,-,23.13381,23.21157,23.64958,-,-,-,23.98014,24.02646,23.22348,23.22355,-,-,21.54076,-,21.87766,-,24.87914,23.71627,23.92413,25.83957,23.79856,24.71567,-,-,23.75212,-,23.72369,22.46634,-,-,-,20.76698,23.15805,-,-,21.32956,-,-,-,-,23.08088,23.28432,23.09998,-,24.80377,-,24.03264,-,-,-,-,-,25.01606,-,23.33088,-,-,20.47149,-,-,-,23.26073,23.79457,-,-,-,25.00319,24.05224,-,22.03627,-,-,-,21.36177,-,21.14736,-,21.46732,22.15165,25.55051,-,-,-,-,-,21.98625,23.63373,-,-,-,23.88719,23.00236,-,-,-,-,-,-,22.96111,23.56993,23.9705,-,-,-,23.60882,22.82529,-,23.25316,-,-,23.43539,-,-,22.24519,22.55064,-,-,-,22.54086,-,-,-,-,23.62398,-,-,24.67338,20.54208,24.95928,-,-,23.82629,-,-,,,,,,,,,,,,,,,,,,,,,
ts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
tt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
tw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
