word,vep,vot,fi,vro,krl,liv,et
burn,ˈpɑlɑdɑ,ˈpɑlɑː,ˈpɑlɑː,ˈpːɑlɑmɑ,ˈpɑluo,ˈpɑlːɨ,ˈpɤlemɑ
sit,ˈiʃtːɑ,ˈisːuɑ,ˈistuɑ,ˈisːtːmɑ,ˈistuo,ˈist̪ɨ,ˈistumɑ
fingernail,ˈkynzʲ,ˈtʃynsi,ˈkynsi,ˈkːɨːtsː,ˈkynsi,ˈkiːɲt̪ʃ,ˈkiːs
feather,ˈhøuneh,ˈsulkɑ,ˈsulkɑ,ˈsːulk,ˈsulgɑ,ˈt̪uːrgɨz,ˈsulg
drink,ˈjodɑ,ˈʝuvːɑ,ˈjuodɑ,ˈjuːmɑ,ˈjuːvːɑ,ˈjuːod̪ɨ,ˈjoːmɑ
year,ˈvozʲ,ˈvoːsi,ˈʋuosi,ˈɑːsːtːɑkː,ˈvuozi,ˈɑːigɑst̪,ˈɑːstɑ
dust,ˈpøly,ˈtolmu,ˈpøly,ˈtːolm,ˈpøly,ˈpɨrm,ˈtolm
know,ˈtetɑ,ˈtæːtæː,ˈtietæː,ˈtːiːtmæ,ˈtietyæ,ˈt̪iːe̞d̪ɨ,ˈteɑdmɑ
die,ˈkoldɑ,ˈkoːlːɑ,ˈkuolːɑ,ˈkːuːlmɑ,ˈkuolːɑ,ˈkuːolɨ,ˈsuremɑ
kill,ˈriktɑ,ˈtɑpːɑː,ˈtɑpːɑː,ˈtːɑpːmɑ,ˈtɑpːuɑ,ˈt̪ɑpːɨ,ˈtɑpmɑ
and,ˈdɑ,ˈʝɑ,ˈjɑ,ˈjɑ,ˈtɑ,ˈjɑ,ˈjɑ
hair,ˈibus,ˈivuz,ˈkɑrʋɑ,ˈkːɑrv,ˈhivus,ˈkoːrɑ,ˈkɑrʋ
five,ˈviʒ,ˈviːz,ˈʋiːsi,ˈviːsː,ˈviːsi,ˈviːʒ,ˈʋiːs
good,ˈhyvæ,ˈyvæ,ˈhyʋæ,ˈhæː,ˈhyvæ,ˈjɨvɑː,ˈheɑ
fish,ˈkɑlɑ,ˈkɑlɑ,ˈkɑlɑ,ˈkːɑlɑ,ˈkɑlɑ,ˈkɑlɑː,ˈkɑlɑ
sew,ˈombeltɑ,ˈɤmːɤɑ,ˈomːelːɑ,ˈumplɤmɑ,ˈomːelːɑ,ˈumblɨ,ˈɤmblemɑ
full,ˈtæyzʲ,ˈtæynæː,ˈtæysi,ˈtːæysː,ˈtæysi,ˈt̪æuʒ,ˈtæis
meat,ˈlihɑ,ˈlihɑ,ˈlihɑ,ˈlihɑ,ˈlihɑ,ˈle̞jɑː,ˈlihɑ
head,ˈpæ,ˈpæː,ˈpæː,ˈpːæː,ˈpiæ,ˈpæː,ˈpeɑ
rotten,ˈlɑho,ˈlɑho,ˈmætæ,ˈmætæ,ˈlɑho,ˈmæːrgɑ,ˈmædɑ
belly,ˈvɑts,ˈvɑtsːɑ,ˈmɑhɑ,ˈkːɤtːtː,ˈvɑtʃːɑ,ˈmɑg,ˈkɤht
salt,ˈsol,ˈsoːlɑ,ˈsuolɑ,ˈsːuːl,ˈsuolɑ,ˈsuːolɨ,ˈsoːl
stand,ˈseiʃtɑ,ˈsɤizoɑ,ˈseisoɑ,ˈsːɑisːmɑ,ˈseisuo,ˈpiːlɨ,ˈseismɑ
push,ˈtunktɑ,ˈtɤukːɑː,ˈtyøntæː,ˈtːoukːɑmɑ,ˈtungie,ˈlikːɨ,ˈtɤukɑmɑ
we,ˈmiː,ˈmyː,ˈme,ˈmiːʔ,ˈmyø,ˈme̞ːg,ˈmeie
cut,ˈtʃɑptɑ,ˈlɤikɑtɑ,ˈleikɑtɑ,ˈlɤikːɑmɑ,ˈleikɑtɑ,ˈiːe̞d̪ɨ,ˈlɤikɑmɑ
warm,ˈlæm,ˈlæmːiː,ˈlæmːin,ˈlæmːi,ˈlæmːin,ˈle̞m,ˈsoe
split,ˈhɑugoidɑ,ˈhɑlkɤɑ,ˈhɑlkɑistɑ,ˈlɑhkːi ɑjɑmɑ,ˈhɑlːɑtɑ,ˈloːgst̪ɨ,ˈlɤhestɑmɑ
all,ˈkɑik,ˈkɤikːi,ˈkɑikːi,ˈkːɤikː,ˈkɑikːi,ˈɑmɑː,ˈkɤik
wind,ˈtulːei,ˈtuːli,ˈtuːli,ˈtːuːl,ˈtuːli,ˈt̪uːʎ,ˈtuːl
fog,ˈsumeg,ˈutu,ˈsumu,ˈuntsːɤʔ,ˈudu,ˈud̪,ˈudu
leaf,ˈlehtez,ˈlehto,ˈlehti,ˈlehtː,ˈlehti,ˈle̞ːd̪j,ˈleht
not,ˈei,ˈeb,ˈei,ˈei,ˈei,ˈæb,ˈei
nose,ˈnenɑ,ˈnenæ,ˈnenæ,ˈnɤnɑ,ˈnenæ,ˈnɑnɑː,ˈninɑ
two,ˈkɑks,ˈkɑhsi,ˈkɑksi,ˈkːɑtːsː,ˈkɑksi,ˈkɑkʃ,ˈkɑks
wash,ˈpestɑ,ˈpezeɑ,ˈpestæ,ˈmɤsːkːmɑ,ˈpesːæ,ˈpie̞zzɨ,ˈpesemɑ
blow,ˈpuhudɑ,ˈpuhuɑ,ˈpuhɑltɑː,ˈpːuhkːmɑ,ˈpuhɑlduɑ,ˈpuːgɨ,ˈpuhumɑ
egg,ˈmunɑ,ˈmunɑ,ˈmunɑ,ˈmunɑ,ˈmunɑ,ˈmunɑː,ˈmunɑ
float,ˈujudɑ,ˈuʝuɑ,ˈkelːuɑ,ˈhɤlʲomɑ,ˈkeiluo,ˈpluːokst̪ɨ,ˈhɤljumɑ
fall,ˈkirbotɑ,ˈlɑngɤtɑ,ˈpudotɑ,ˈsːɑtɑmɑ,ˈkirvotɑ,ˈsɑd̪ːɨ,ˈkukːumɑ
night,ˈø,ˈøː,ˈyø,ˈɨː,ˈyø,ˈiːe̞,ˈøː
eye,ˈsilʲm,ˈsilmæ,ˈsilmæ,ˈsːilm,ˈsilmæ,ˈsiːlmɑ,ˈsilm
human,ˈristit,ˈinemin,ˈihminen,ˈinemine,ˈihmini,ˈriʃt̪iːng,ˈinimene
walk,ˈkæveltæ,ˈtʃæymæː,ˈkæʋelːæ,ˈkːæymæ,ˈkævelːæ,ˈkæːd̪ɨ,ˈkæimɑ
in,ˈs,ˈsːɑ,ˈsːɑ,ˈhn,ˈsːɑ,ˈs,ˈs
some,ˈerɑz,ˈmɤni,ˈjokin,ˈmɤni,ˈmonies,ˈmuːnd̪ɑ,ˈmɤni
wife,ˈɑk,ˈnɑin,ˈʋɑimo,ˈnɑːnɤ,ˈɑkːɑ,ˈnɑi,ˈnɑine
thick,ˈpɑks,ˈpɑksu,ˈpɑksu,ˈpːɑkːsː,ˈpɑksu,ˈjɑmd̪i,ˈpɑks
how,ˈkut,ˈkui,ˈkuinkɑ,ˈkːui,ˈkui,ˈkui,ˈkuidɑs
left,ˈhurɑ,ˈkurɤɑz,ˈʋɑsen,ˈkːurɑ,ˈhuruɑ,ˈkurɑː,ˈʋɑsɑk
right,ˈoiged,ˈɤikɤɑ,ˈoikeɑ,ˈhyæ,ˈoikie,ˈjɨvɑː,ˈpɑrem
bone,ˈlu,ˈluː,ˈluː,ˈluː,ˈluː,ˈluː,ˈluː
tooth,ˈhɑmbɑz,ˈɑmːɑz,ˈhɑmːɑs,ˈhɑmːɑsː,ˈhɑmːɑs,ˈɑːmbɑz,ˈhɑmːɑs
sing,ˈlɑuldɑ,ˈlɑuluɑ,ˈlɑulɑː,ˈlɑulmɑ,ˈlɑuluɑ,ˈloulɨ,ˈlɑulmɑ
smoke,ˈsɑvu,ˈsɑvːu,ˈsɑʋu,ˈsːɑu,ˈsɑvu,ˈsov,ˈsuits
hit,ˈlødɑ,ˈløː,ˈlyødæ,ˈlɨːmæ,ˈlyːvːæ,ˈrɑbːɨ,ˈløːmɑ
green,ˈvihɑnd,ˈrohoin,ˈʋihreæ,ˈrohilinɤ,ˈvihrie,ˈoːʎɑz,ˈroheline
flow,ˈjokstɑ,ˈʝohsɑ,ˈʋirːɑtɑ,ˈjuːsːkːmɑ,ˈvirːɑtɑ,ˈjuːokʃɨ,ˈʋoːlɑmɑ
river,ˈjogi,ˈʝɤgi,ˈjoki,ˈjɤki,ˈjogi,ˈjoug,ˈjɤgi
freeze,ˈjædudɑ,ˈʝæːtyæ,ˈjæːtyæ,ˈkːylmæmæ,ˈjiædyø,ˈkilmɨ,ˈkylmumɑ
who,ˈken,ˈtʃen,ˈkukɑ,ˈkːiæ,ˈken,ˈkis,ˈkes
there,ˈsigæ,ˈsiːnæ,ˈtuolːɑ,ˈsːæːl,ˈsielæ,ˈsæːl,ˈseɑl
neck,ˈkɑgl,ˈkɑglɑ,ˈkɑulɑ,ˈkːɑːl,ˈkɑklɑ,ˈkɑgːɨl,ˈkɑel
fly,ˈletɑ,ˈlentæː,ˈlentæː,ˈlintɑmɑ,ˈlentyæ,ˈlind̪ɨ,ˈlendɑmɑ
here,ˈtægæ,ˈtæːlːæ,ˈtæːlːæ,ˈtːɑn,ˈtæs,ˈt̪æs,ˈsiːn
breast,ˈrind,ˈrintɑ,ˈrintɑ,ˈrɤnt,ˈrintɑ,ˈriːnd̪ɑ,ˈrind
